150101	N-	----NSM-	Παῦλος	Παῦλος		Pau=loj
150101	N-	----NSM-	ἀπόστολος	ἀπόστολος		a)po/stoloj
150101	N-	----GSM-	Χριστοῦ	Χριστός		Xristo/j
150101	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
150101	P-	--------	κατ	κατά		kata/
150101	N-	----ASF-	ἐπιταγὴν	ἐπιταγή		e)pitagh/
150101	N-	----GSM-	θεοῦ	θεός		qeo/j
150101	N-	----GSM-	σωτῆρος	σωτήρ		swth/r
150101	RP	----GP--	ἡμῶν	ἐγώ		e)gw/
150101	C-	--------	καὶ	καί		kai/
150101	N-	----GSM-	Χριστοῦ	Χριστός		Xristo/j
150101	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
150101	RA	----GSF-	τῆς	ὁ		o(
150101	N-	----GSF-	ἐλπίδος	ἐλπίς		e)lpi/j
150101	RP	----GP--	ἡμῶν	ἐγώ		e)gw/
150102	N-	----DSM-	Τιμοθέῳ	Τιμόθεος		Timo/qeoj
150102	A-	----DSN-	γνησίῳ	γνήσιος		gnh/sioj
150102	N-	----DSN-	τέκνῳ	τέκνον		te/knon
150102	P-	--------	ἐν	ἐν		e)n
150102	N-	----DSF-	πίστει	πίστις	·	pi/stij
150102	N-	----NSF-	χάρις	χάρις	,	xa/rij
150102	N-	----NSN-	ἔλεος	ἔλεος	,	e)/leoj
150102	N-	----NSF-	εἰρήνη	εἰρήνη		ei)rh/nh
150102	P-	--------	ἀπὸ	ἀπό		a)po/
150102	N-	----GSM-	θεοῦ	θεός		qeo/j
150102	N-	----GSM-	πατρὸς	πατήρ		path/r
150102	C-	--------	καὶ	καί		kai/
150102	N-	----GSM-	Χριστοῦ	Χριστός		Xristo/j
150102	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
150102	RA	----GSM-	τοῦ	ὁ		o(
150102	N-	----GSM-	κυρίου	κύριος		ku/rioj
150102	RP	----GP--	ἡμῶν	ἐγώ	.	e)gw/
150103	C-	--------	Καθὼς	καθώς		kaqw/j
150103	V-	1AAI-S--	παρεκάλεσά	παρακαλέω		parakale/w
