200101	N-	----NSM-	Ἰάκωβος	Ἰάκωβος		I)a/kwboj
200101	N-	----GSM-	θεοῦ	θεός		qeo/j
200101	C-	--------	καὶ	καί		kai/
200101	N-	----GSM-	κυρίου	κύριος		ku/rioj
200101	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
200101	N-	----GSM-	Χριστοῦ	Χριστός		Xristo/j
200101	N-	----NSM-	δοῦλος	δοῦλος		dou=loj
200101	RA	----DPF-	ταῖς	ὁ		o(
200101	A-	----DPF-	δώδεκα	δώδεκα		dw/deka
200101	N-	----DPF-	φυλαῖς	φυλή		fulh/
200101	RA	----DPF-	ταῖς	ὁ		o(
200101	P-	--------	ἐν	ἐν		e)n
200101	RA	----DSF-	τῇ	ὁ		o(
200101	N-	----DSF-	διασπορᾷ	διασπορά		diaspora/
200101	V-	-PAN----	χαίρειν	χαίρω	.	xai/rw
200102	A-	----ASF-	Πᾶσαν	πᾶς		pa=j
200102	N-	----ASF-	χαρὰν	χαρά		xara/
200102	V-	2AMD-P--	ἡγήσασθε	ἡγέομαι	,	h(ge/omai
200102	N-	----VPM-	ἀδελφοί	ἀδελφός		a)delfo/j
200102	RP	----GS--	μου	ἐγώ	,	e)gw/
200102	C-	--------	ὅταν	ὅταν		o(/tan
200102	N-	----DPM-	πειρασμοῖς	πειρασμός		peirasmo/j
200102	V-	2AAS-P--	περιπέσητε	περιπίπτω		peripi/ptw
200102	A-	----DPM-	ποικίλοις	ποικίλος	,	poiki/loj
200103	V-	-PAPNPM-	γινώσκοντες	γινώσκω		ginw/skw
200103	C-	--------	ὅτι	ὅτι		o(/ti
200103	RA	----NSN-	τὸ	ὁ		o(
200103	N-	----NSN-	δοκίμιον	δοκίμιον		doki/mion
200103	RP	----GP--	ὑμῶν	σύ		su/
200103	RA	----GSF-	τῆς	ὁ		o(
200103	N-	----GSF-	πίστεως	πίστις		pi/stij
200103	V-	3PMI-S--	κατεργάζεται	κατεργάζομαι		katerga/zomai
200103	N-	----ASF-	ὑπομονήν	ὑπομονή	·	u(pomonh/
200104	RA	----NSF-	ἡ	ὁ		o(
200104	C-	--------	δὲ	δέ		de/
200104	N-	----NSF-	ὑπομονὴ	ὑπομονή		u(pomonh/
200104	N-	----ASN-	ἔργον	ἔργον		e)/rgon
200104	A-	----ASN-	τέλειον	τέλειος		te/leioj
200104	V-	3PAD-S--	ἐχέτω	ἔχω	,	e)/xw
200104	C-	--------	ἵνα	ἵνα		i(/na
200104	V-	2PAS-P--	ἦτε	εἰμί		ei)mi/
200104	A-	----NPM-	τέλειοι	τέλειος		te/leioj
200104	C-	--------	καὶ	καί		kai/
200104	A-	----NPM-	ὁλόκληροι	ὁλόκληρος	,	o(lo/klhroj
200104	P-	--------	ἐν	ἐν		e)n
200104	A-	----DSN-	μηδενὶ	μηδείς		mhdei/j
200104	V-	-PMPNPM-	λειπόμενοι	λείπω	.	lei/pw
200105	C-	--------	Εἰ	εἰ		ei)
200105	C-	--------	δέ	δέ		de/
200105	RI	----NSM-	τις	τις		tij
200105	RP	----GP--	ὑμῶν	σύ		su/
200105	V-	3PMI-S--	λείπεται	λείπω		lei/pw
200105	N-	----GSF-	σοφίας	σοφία	,	sofi/a
200105	V-	3PAD-S--	αἰτείτω	αἰτέω		ai)te/w
200105	P-	--------	παρὰ	παρά		para/
200105	RA	----GSM-	τοῦ	ὁ		o(
200105	V-	-PAPGSM-	διδόντος	δίδωμι		di/dwmi
200105	N-	----GSM-	θεοῦ	θεός		qeo/j
200105	A-	----DPM-	πᾶσιν	πᾶς		pa=j
200105	D-	--------	ἁπλῶς	ἁπλῶς		a(plw=j
200105	C-	--------	καὶ	καί		kai/
200105	D-	--------	μὴ	μή		mh/
200105	V-	-PAPGSM-	ὀνειδίζοντος	ὀνειδίζω	,	o)neidi/zw
200105	C-	--------	καὶ	καί		kai/
200105	V-	3FPI-S--	δοθήσεται	δίδωμι		di/dwmi
200105	RP	----DSM-	αὐτῷ	αὐτός	·	au)to/j
200106	V-	3PAD-S--	αἰτείτω	αἰτέω		ai)te/w
200106	C-	--------	δὲ	δέ		de/
200106	P-	--------	ἐν	ἐν		e)n
200106	N-	----DSF-	πίστει	πίστις	,	pi/stij
200106	A-	----ASN-	μηδὲν	μηδείς		mhdei/j
200106	V-	-PMPNSM-	διακρινόμενος	διακρίνω	,	diakri/nw
200106	RA	----NSM-	ὁ	ὁ		o(
200106	C-	--------	γὰρ	γάρ		ga/r
200106	V-	-PMPNSM-	διακρινόμενος	διακρίνω		diakri/nw
200106	V-	3XAI-S--	ἔοικεν	ἔοικα		e)/oika
200106	N-	----DSM-	κλύδωνι	κλύδων		klu/dwn
200106	N-	----GSF-	θαλάσσης	θάλασσα		qa/lassa
200106	V-	-PPPDSM-	ἀνεμιζομένῳ	ἀνεμίζομαι		a)nemi/zomai
200106	C-	--------	καὶ	καί		kai/
200106	V-	-PPPDSM-	ῥιπιζομένῳ	ῥιπίζομαι	·	r(ipi/zomai
200107	D-	--------	μὴ	μή		mh/
200107	C-	--------	γὰρ	γάρ		ga/r
200107	V-	3PMD-S--	οἰέσθω	οἶμαι		oi)=mai
200107	RA	----NSM-	ὁ	ὁ		o(
200107	N-	----NSM-	ἄνθρωπος	ἄνθρωπος		a)/nqrwpoj
200107	RD	----NSM-	ἐκεῖνος	ἐκεῖνος		e)kei=noj
200107	C-	--------	ὅτι	ὅτι		o(/ti
200107	V-	3FMI-S--	λήμψεταί	λαμβάνω		lamba/nw
200107	RI	----ASN-	τι	τις		tij
200107	P-	--------	παρὰ	παρά		para/
200107	RA	----GSM-	τοῦ	ὁ		o(
200107	N-	----GSM-	κυρίου	κύριος		ku/rioj
200108	N-	----NSM-	ἀνὴρ	ἀνήρ		a)nh/r
200108	A-	----NSM-	δίψυχος	δίψυχος	,	di/yuxoj
200108	A-	----NSM-	ἀκατάστατος	ἀκατάστατος		a)kata/statoj
200108	P-	--------	ἐν	ἐν		e)n
200108	A-	----DPF-	πάσαις	πᾶς		pa=j
200108	RA	----DPF-	ταῖς	ὁ		o(
200108	N-	----DPF-	ὁδοῖς	ὁδός		o(do/j
200108	RP	----GSM-	αὐτοῦ	αὐτός	.	au)to/j
200109	V-	3PMD-S--	Καυχάσθω	καυχάομαι		kauxa/omai
200109	C-	--------	δὲ	δέ		de/
200109	RA	----NSM-	ὁ	ὁ		o(
200109	N-	----NSM-	ἀδελφὸς	ἀδελφός		a)delfo/j
200109	RA	----NSM-	ὁ	ὁ		o(
200109	A-	----NSM-	ταπεινὸς	ταπεινός		tapeino/j
200109	P-	--------	ἐν	ἐν		e)n
200109	RA	----DSN-	τῷ	ὁ		o(
200109	N-	----DSN-	ὕψει	ὕψος		u(/yoj
200109	RP	----GSM-	αὐτοῦ	αὐτός	,	au)to/j
200110	RA	----NSM-	ὁ	ὁ		o(
200110	C-	--------	δὲ	δέ		de/
200110	A-	----NSM-	πλούσιος	πλούσιος		plou/sioj
200110	P-	--------	ἐν	ἐν		e)n
200110	RA	----DSF-	τῇ	ὁ		o(
200110	N-	----DSF-	ταπεινώσει	ταπείνωσις		tapei/nwsij
200110	RP	----GSM-	αὐτοῦ	αὐτός	,	au)to/j
200110	C-	--------	ὅτι	ὅτι		o(/ti
200110	C-	--------	ὡς	ὡς		w(j
200110	N-	----NSN-	ἄνθος	ἄνθος		a)/nqoj
200110	N-	----GSM-	χόρτου	χόρτος		xo/rtoj
200110	V-	3FMI-S--	παρελεύσεται	παρέρχομαι	.	pare/rxomai
200111	V-	3AAI-S--	ἀνέτειλεν	ἀνατέλλω		a)nate/llw
200111	C-	--------	γὰρ	γάρ		ga/r
200111	RA	----NSM-	ὁ	ὁ		o(
200111	N-	----NSM-	ἥλιος	ἥλιος		h(/lioj
200111	P-	--------	σὺν	σύν		su/n
200111	RA	----DSM-	τῷ	ὁ		o(
200111	N-	----DSM-	καύσωνι	καύσων		kau/swn
200111	C-	--------	καὶ	καί		kai/
200111	V-	3AAI-S--	ἐξήρανεν	ξηραίνω		chrai/nw
200111	RA	----ASM-	τὸν	ὁ		o(
200111	N-	----ASM-	χόρτον	χόρτος	,	xo/rtoj
200111	C-	--------	καὶ	καί		kai/
200111	RA	----NSN-	τὸ	ὁ		o(
200111	N-	----NSN-	ἄνθος	ἄνθος		a)/nqoj
200111	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
200111	V-	3AAI-S--	ἐξέπεσεν	ἐκπίπτω		e)kpi/ptw
200111	C-	--------	καὶ	καί		kai/
200111	RA	----NSF-	ἡ	ὁ		o(
200111	N-	----NSF-	εὐπρέπεια	εὐπρέπεια		eu)pre/peia
200111	RA	----GSN-	τοῦ	ὁ		o(
200111	N-	----GSN-	προσώπου	πρόσωπον		pro/swpon
200111	RP	----GSN-	αὐτοῦ	αὐτός		au)to/j
200111	V-	3AMI-S--	ἀπώλετο	ἀπόλλυμι	·	a)po/llumi
200111	D-	--------	οὕτως	οὕτω(ς)		ou(/tw[j]
200111	D-	--------	καὶ	καί		kai/
200111	RA	----NSM-	ὁ	ὁ		o(
200111	A-	----NSM-	πλούσιος	πλούσιος		plou/sioj
200111	P-	--------	ἐν	ἐν		e)n
