130101	N-	----NSM-	Παῦλος	Παῦλος		Pau=loj
130101	C-	--------	καὶ	καί		kai/
130101	N-	----NSM-	Σιλουανὸς	Σιλουανός		Silouano/j
130101	C-	--------	καὶ	καί		kai/
130101	N-	----NSM-	Τιμόθεος	Τιμόθεος		Timo/qeoj
130101	RA	----DSF-	τῇ	ὁ		o(
130101	N-	----DSF-	ἐκκλησίᾳ	ἐκκλησία		e)kklhsi/a
130101	N-	----GPM-	Θεσσαλονικέων	Θεσσαλονικεύς		Qessalonikeu/j
130101	P-	--------	ἐν	ἐν		e)n
130101	N-	----DSM-	θεῷ	θεός		qeo/j
130101	N-	----DSM-	πατρὶ	πατήρ		path/r
130101	C-	--------	καὶ	καί		kai/
130101	N-	----DSM-	κυρίῳ	κύριος		ku/rioj
130101	N-	----DSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
130101	N-	----DSM-	Χριστῷ	Χριστός	·	Xristo/j
130101	N-	----NSF-	χάρις	χάρις		xa/rij
130101	RP	----DP--	ὑμῖν	σύ		su/
130101	C-	--------	καὶ	καί		kai/
130101	N-	----NSF-	εἰρήνη	εἰρήνη	.	ei)rh/nh
130102	V-	1PAI-P--	Εὐχαριστοῦμεν	εὐχαριστέω		eu)xariste/w
130102	RA	----DSM-	τῷ	ὁ		o(
130102	N-	----DSM-	θεῷ	θεός		qeo/j
130102	D-	--------	πάντοτε	πάντοτε		pa/ntote
130102	P-	--------	περὶ	περί		peri/
130102	A-	----GPM-	πάντων	πᾶς		pa=j
130102	RP	----GP--	ὑμῶν	σύ		su/
130102	N-	----ASF-	μνείαν	μνεία		mnei/a
130102	V-	-PMPNPM-	ποιούμενοι	ποιέω		poie/w
130102	P-	--------	ἐπὶ	ἐπί		e)pi/
130102	RA	----GPF-	τῶν	ὁ		o(
130102	N-	----GPF-	προσευχῶν	προσευχή		proseuxh/
130102	RP	----GP--	ἡμῶν	ἐγώ	,	e)gw/
130102	D-	--------	ἀδιαλείπτως	ἀδιαλείπτως		a)dialei/ptwj
130103	V-	-PAPNPM-	μνημονεύοντες	μνημονεύω		mnhmoneu/w
130103	RP	----GP--	ὑμῶν	σύ		su/
130103	RA	----GSN-	τοῦ	ὁ		o(
130103	N-	----GSN-	ἔργου	ἔργον		e)/rgon
130103	RA	----GSF-	τῆς	ὁ		o(
130103	N-	----GSF-	πίστεως	πίστις		pi/stij
130103	C-	--------	καὶ	καί		kai/
130103	RA	----GSM-	τοῦ	ὁ		o(
130103	N-	----GSM-	κόπου	κόπος		ko/poj
130103	RA	----GSF-	τῆς	ὁ		o(
130103	N-	----GSF-	ἀγάπης	ἀγάπη		a)ga/ph
130103	C-	--------	καὶ	καί		kai/
130103	RA	----GSF-	τῆς	ὁ		o(
130103	N-	----GSF-	ὑπομονῆς	ὑπομονή		u(pomonh/
130103	RA	----GSF-	τῆς	ὁ		o(
130103	N-	----GSF-	ἐλπίδος	ἐλπίς		e)lpi/j
130103	RA	----GSM-	τοῦ	ὁ		o(
130103	N-	----GSM-	κυρίου	κύριος		ku/rioj
130103	RP	----GP--	ἡμῶν	ἐγώ		e)gw/
130103	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
130103	N-	----GSM-	Χριστοῦ	Χριστός		Xristo/j
130103	P-	--------	ἔμπροσθεν	ἔμπροσθεν		e)/mprosqen
130103	RA	----GSM-	τοῦ	ὁ		o(
130103	N-	----GSM-	θεοῦ	θεός		qeo/j
130103	C-	--------	καὶ	καί		kai/
130103	N-	----GSM-	πατρὸς	πατήρ		path/r
130103	RP	----GP--	ἡμῶν	ἐγώ	,	e)gw/
130104	V-	-XAPNPM-	εἰδότες	οἶδα	,	oi)=da
130104	N-	----VPM-	ἀδελφοὶ	ἀδελφός		a)delfo/j
130104	V-	-XPPVPM-	ἠγαπημένοι	ἀγαπάω		a)gapa/w
130104	P-	--------	ὑπὸ	ὑπό		u(po/
130104	N-	----GSM-	θεοῦ	θεός	,	qeo/j
130104	RA	----ASF-	τὴν	ὁ		o(
130104	N-	----ASF-	ἐκλογὴν	ἐκλογή		e)klogh/
130104	RP	----GP--	ὑμῶν	σύ	,	su/
