1	1	N2	NPM	9858	Λόγοι	λογοι	λογοι	λόγος	lo/goj				LO/GOI	LO/GOS
1	1	N	GSM	9538	Αμως	αμως	αμως	Ἀμώς	A)mw/j			,	*AMWS	*AMWS
1	1	RR	NPM	14	οἳ	οἱ	οι	ὅς	o(/j				OI(\	O(/S
1	1	VBI	AMI3P	899713	ἐγένοντο	ἐγενοντο	εγενοντο	γίνομαι	gi/nomai				E)GE/NONTO	GI/GNOMAI
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	1	N	DPM	10114	νακκαριμ	νακκαριμ	νακκαριμ	νακκαριμ	nakkarim				NAKKARIM	NAKKARIM
1	1	P		8	ἐκ	ἐκ	εκ	ἐκ	e)k				E)K	E)K
1	1	N	GS	5442	Θεκουε	θεκουε	θεκουε	Θεκουε	Qekoue			,	*QEKOUE	*QEKOUE
1	1	RR	APM	14	οὓς	οὑς	ους	ὅς	o(/j				OU(\S	O(/S
1	1	VBI	AAI3S	633473	εἶδεν	εἰδεν	ειδεν	ὁράω	o(ra/w				EI)=DEN	O(RA/W
1	1	P		8	ὑπὲρ	ὑπερ	υπερ	ὑπέρ	u(pe/r				U(PE\R	U(PE/R
1	1	N	ASF	13570	Ιερουσαλημ	ιερουσαλημ	ιερουσαλημ	Ἱερουσαλήμ	I(erousalh/m				*IEROUSALHM	*I)EROUSALH/M
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	1	N1A	DPF	14210	ἡμέραις	ἡμεραις	ημεραις	ἡμέρα	h(me/ra				H(ME/RAIS	H(ME/RA
1	1	N1T	GSM	9538	Οζιου	οζιου	οζιου	Ὀζίας	O)zi/aj				*OZIOU	*OZIAS
1	1	N3V	GSM	9538	βασιλέως	βασιλεως	βασιλεως	βασιλεύς	basileu/j				BASILE/WS	BASILEU/S
1	1	N	GSM	9538	Ιουδα	ιουδα	ιουδα	Ἰουδά	I)ouda/				*IOUDA	*IOUDA
1	1	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	1	N1A	DPF	14210	ἡμέραις	ἡμεραις	ημεραις	ἡμέρα	h(me/ra				H(ME/RAIS	H(ME/RA
1	1	N	GSM	9538	Ιεροβοαμ	ιεροβοαμ	ιεροβοαμ	Ιεροβοαμ	Ieroboam				*IEROBOAM	*IEROBOAM
1	1	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	1	N	GSM	9538	Ιωας	ιωας	ιωας	Ιωας	Iwaj				*IWAS	*IWAS
1	1	N3V	GSM	9538	βασιλέως	βασιλεως	βασιλεως	βασιλεύς	basileu/j				BASILE/WS	BASILEU/S
1	1	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	I)srah/l				*ISRAHL	*I)SRAH/L
1	1	P		8	πρὸ	προ	προ	πρό	pro/				PRO\	PRO/
1	1	M		7	δύο	δυο	δυο	δύο	du/o				DU/O	DU/O
1	1	N3E	GPN	18242	ἐτῶν	ἐτων	ετων	ἔτος	e)/toj				E)TW=N	E)/TOS
1	1	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	1	N2	GSM	9538	σεισμοῦ	σεισμου	σεισμου	σεισμός	seismo/j			.	SEISMOU=	SEISMO/S
1	2	C		4	Καὶ	και	και	καί	kai/				KAI\	KAI/
1	2	VBI	AAI3S	633473	εἶπεν	εἰπεν	ειπεν	ἔπω	e)/pw				EI)=PEN	EI)=PON
1	2	N2	NSM	9346	Κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
1	2	P		8	ἐκ	ἐκ	εκ	ἐκ	e)k				E)K	E)K
1	2	N	GS	5442	Σιων	σιων	σιων	Σιών	Siw/n				*SIWN	*SIWN
1	2	VAI	AMI3S	637569	ἐφθέγξατο	ἐφθεγξατο	εφθεγξατο	φθέγγομαι	fqe/ggomai				E)FQE/GCATO	FQE/GGOMAI
1	2	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	2	P		8	ἐξ	ἐξ	εξ	ἐκ	e)k				E)C	E)K
1	2	N	GSF	13634	Ιερουσαλημ	ιερουσαλημ	ιερουσαλημ	Ἱερουσαλήμ	I(erousalh/m				*IEROUSALHM	*I)EROUSALH/M
1	2	VAI	AAI3S	633473	ἔδωκεν	ἐδωκεν	εδωκεν	δίδωμι	di/dwmi				E)/DWKEN	DI/DWMI
1	2	N1	ASF	13570	φωνὴν	φωνην	φωνην	φωνή	fwnh/				FWNH\N	FWNH/
1	2	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)to/j			,	AU)TOU=	AU)TO/S
1	2	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	2	VAI	AAI3P	895617	ἐπένθησαν	ἐπενθησαν	επενθησαν	πενθέω	penqe/w				E)PE/NQHSAN	PENQE/W
1	2	RA	NPF	10	αἱ	αἱ	αι	ὁ	o(				AI(	O(
1	2	N1	NPF	13954	νομαὶ	νομαι	νομαι	νομή	nomh/				NOMAI\	NOMH/
1	2	RA	GPM	10	τῶν	των	των	ὁ	o(				TW=N	O(
1	2	N3	GPM	10050	ποιμένων	ποιμενων	ποιμενων	ποιμήν	poimh/n			,	POIME/NWN	POIMH/N
1	2	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	2	VCI	API3S	641665	ἐξηράνθη	ἐξηρανθη	εξηρανθη	ξηραίνω	chrai/nw				E)CHRA/NQH	CHRAI/NW
1	2	RA	NSF	10	ἡ	ἡ	η	ὁ	o(				H(	O(
1	2	N1	NSF	13442	κορυφὴ	κορυφη	κορυφη	κορυφή	korufh/				KORUFH\	KORUFH/
1	2	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	2	N2	GSM	9538	Καρμήλου	καρμηλου	καρμηλου	Κάρμηλος	Ka/rmhloj			.	*KARMH/LOU	*KARMH/LOS
1	3	C		4	Καὶ	και	και	καί	kai/				KAI\	KAI/
1	3	VBI	AAI3S	633473	εἶπεν	εἰπεν	ειπεν	ἔπω	e)/pw				EI)=PEN	EI)=PON
1	3	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
1	3	P		8	Ἐπὶ	ἐπι	επι	ἐπί	e)pi/				E)PI\	E)PI/
1	3	RA	DPF	10	ταῖς	ταις	ταις	ὁ	o(				TAI=S	O(
1	3	A3	DPF	14211	τρισὶν	τρισιν	τρισιν	τρεῖς	trei=j				TRISI\N	TREI=S
1	3	N1A	DPF	14210	ἀσεβείαις	ἀσεβειαις	ασεβειαις	ἀσέβεια	a)se/beia				A)SEBEI/AIS	A)SE/BEIA
