1	1	N2	NSM	9346	Λόγος	λογος	λογος	λόγος	lo/goj				LO/GOS	LO/GOS
1	1	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος	ku/rioj			,	KURI/OU	KU/RIOS
1	1	RR	NSM	14	ὃς	ὁς	ος	ὅς	o(/j				O(\S	O(/S
1	1	VCI	API3S	641665	ἐγενήθη	ἐγενηθη	εγενηθη	γίνομαι	gi/nomai				E)GENH/QH	GI/GNOMAI
1	1	P		8	πρὸς	προς	προς	πρός	pro/j				PRO\S	PRO/S
1	1	N	ASM	9474	Ωσηε	ωσηε	ωσηε	Ὡσηέ	W(she/				*WSHE	*WSHE
1	1	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	1	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	1	N	GSM	9538	Βεηρι	βεηρι	βεηρι	Βεηρι	Behri				*BEHRI	*BEHRI
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	1	N1A	DPF	14210	ἡμέραις	ἡμεραις	ημεραις	ἡμέρα	h(me/ra				H(ME/RAIS	H(ME/RA
1	1	N1T	GSM	9538	Οζιου	οζιου	οζιου	Ὀζίας	O)zi/aj				*OZIOU	*OZIAS
1	1	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	1	N	GSM	9538	Ιωαθαμ	ιωαθαμ	ιωαθαμ	Ἰωάθαμ	I)wa/qam				*IWAQAM	*IWAQAM
1	1	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	1	N	GSM	9538	Αχαζ	αχαζ	αχαζ	Ἀχάζ	A)xa/z				*AXAZ	*AXAZ
1	1	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	1	N1T	GSM	9538	Εζεκιου	εζεκιου	εζεκιου	Ἐζεκίας	E)zeki/aj				*EZEKIOU	*EZEKIAS
1	1	N3V	GPM	10050	βασιλέων	βασιλεων	βασιλεων	βασιλεύς	basileu/j				BASILE/WN	BASILEU/S
