1	1	N3M	NPN	18050	Ῥήματα	ῥηματα	ρηματα	ῥῆμα	r(h=ma				R(H/MATA	R(H=MA
1	1	N1M	GSM	9538	Ἐκκλησιαστοῦ	ἐκκλησιαστου	εκκλησιαστου	Ἐκκλησιαστής	E)kklhsiasth/j				*E)KKLHSIASTOU=	*E)KKLHSIASTH/S
1	1	N2	GSM	9538	υἱοῦ	υἱου	υιου	υἱός	ui(o/j				UI(OU=	UI(O/S
1	1	N	GSM	9538	Δαυιδ	δαυιδ	δαυιδ	Δαβίδ	Dabi/d				*DAUID	*DAUI/D
1	1	N3V	GSM	9538	βασιλέως	βασιλεως	βασιλεως	βασιλεύς	basileu/j				BASILE/WS	BASILEU/S
1	1	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	I)srah/l				*ISRAHL	*I)SRAH/L
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	1	N	DSF	13698	Ιερουσαλημ	ιερουσαλημ	ιερουσαλημ	Ἱερουσαλήμ	I(erousalh/m			.	*IEROUSALHM	*I)EROUSALH/M
1	2	N3T	NSF	13442	Ματαιότης	ματαιοτης	ματαιοτης	ματαιότης	mataio/thj				MATAIO/THS	MATAIO/THS
1	2	N3T	GPF	14146	ματαιοτήτων	ματαιοτητων	ματαιοτητων	ματαιότης	mataio/thj			,	MATAIOTH/TWN	MATAIO/THS
1	2	VBI	AAI3S	633473	εἶπεν	εἰπεν	ειπεν	ἔπω	e)/pw				EI)=PEN	EI)=PON
1	2	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(				O(	O(
1	2	N1M	NSM	9346	Ἐκκλησιαστής	ἐκκλησιαστης	εκκλησιαστης	Ἐκκλησιαστής	E)kklhsiasth/j			,	*E)KKLHSIASTH/S	*E)KKLHSIASTH/S
1	2	N3T	NSM	9346	ματαιότης	ματαιοτης	ματαιοτης	ματαιότης	mataio/thj				MATAIO/THS	MATAIO/THS
1	2	N3T	GPF	14146	ματαιοτήτων	ματαιοτητων	ματαιοτητων	ματαιότης	mataio/thj			,	MATAIOTH/TWN	MATAIO/THS
1	2	RA	NPN	10	τὰ	τα	τα	ὁ	o(				TA\	O(
1	2	A3	NPN	18051	πάντα	παντα	παντα	πᾶς	pa=j				PA/NTA	PA=S
1	2	N3T	NSF	13442	ματαιότης	ματαιοτης	ματαιοτης	ματαιότης	mataio/thj			.	MATAIO/THS	MATAIO/THS
1	3	RI	NSF	12	τίς	τις	τις	τίς	ti/j				TI/S	TI/S
1	3	N1A	NSF	13442	περισσεία	περισσεια	περισσεια	περισσεία	perissei/a				PERISSEI/A	PERISSEI/A
1	3	RA	DSM	10	τῷ	τω	τω	ὁ	o(				TW=|	O(
1	3	N2	DSM	9602	ἀνθρώπῳ	ἀνθρωπω	ανθρωπω	ἄνθρωπος	a)/nqrwpoj				A)NQRW/PW|	A)/NQRWPOS
1	3	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	3	A3	DSM	9603	παντὶ	παντι	παντι	πᾶς	pa=j				PANTI\	PA=S
1	3	N2	DSM	9602	μόχθῳ	μοχθω	μοχθω	μόχθος	mo/xqoj				MO/XQW|	MO/XQOS
1	3	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)to/j			,	AU)TOU=	AU)TO/S
1	3	RR	DSM	14	ᾧ	ὡ	ω	ὅς	o(/j				W(=|	O(/S
1	3	V2	PAI3S	631937	μοχθεῖ	μοχθει	μοχθει	μοχθέω	moxqe/w				MOXQEI=	MOXQE/W
1	3	P		8	ὑπὸ	ὑπο	υπο	ὑπό	u(po/				U(PO\	U(PO/
1	3	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	3	N2	ASM	9474	ἥλιον	ἡλιον	ηλιον	ἥλιος	h(/lioj			;	H(/LION	H(/LIOS
1	4	N1A	NSF	13442	γενεὰ	γενεα	γενεα	γενεά	genea/				GENEA\	GENEA/
1	4	V1	PMI3S	636033	πορεύεται	πορευεται	πορευεται	πορεύομαι	poreu/omai				POREU/ETAI	POREU/OMAI
1	4	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	4	N1A	NSF	13442	γενεὰ	γενεα	γενεα	γενεά	genea/				GENEA\	GENEA/
1	4	V1	PMI3S	636033	ἔρχεται	ἐρχεται	ερχεται	ἔρχομαι	e)/rxomai			,	E)/RXETAI	E)/RXOMAI
1	4	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	4	RA	NSF	10	ἡ	ἡ	η	ὁ	o(				H(	O(
1	4	N1	NSF	13442	γῆ	γη	γη	γῆ	gh=				GH=	GH=
1	4	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
1	4	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	4	N3W	ASM	9474	αἰῶνα	αἰωνα	αιωνα	αἰών	ai)w/n				AI)W=NA	AI)W/N
1	4	VXI	XAI3S	633985	ἕστηκεν	ἑστηκεν	εστηκεν	ἵστημι	i(/sthmi			.	E(/STHKEN	I(/STHMI
1	5	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	5	V1	PAI3S	631937	ἀνατέλλει	ἀνατελλει	ανατελλει	ἀνατέλλω	a)nate/llw				A)NATE/LLEI	TE/LLW           A)NA
1	5	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(				O(	O(
1	5	N2	NSM	9346	ἥλιος	ἡλιος	ηλιος	ἥλιος	h(/lioj				H(/LIOS	H(/LIOS
1	5	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	5	V1	PAI3S	631937	δύνει	δυνει	δυνει	δύνω	du/nw				DU/NEI	DU/W
