1	1	N2	NSM	9346	Λόγος	λογος	λογος	λόγος	lo/goj				LO/GOS	LO/GOS
1	1	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος	ku/rioj			,	KURI/OU	KU/RIOS
1	1	RR	NSM	14	ὃς	ὁς	ος	ὅς	o(/j				O(\S	O(/S
1	1	VCI	API3S	641665	ἐγενήθη	ἐγενηθη	εγενηθη	γίνομαι	gi/nomai				E)GENH/QH	GI/GNOMAI
1	1	P		8	πρὸς	προς	προς	πρός	pro/j				PRO\S	PRO/S
1	1	N1T	ASM	9474	Σοφονιαν	σοφονιαν	σοφονιαν	Σοφονίας	Sofoni/aj				*SOFONIAN	*SOFONIAS
1	1	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	1	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	1	N	GSM	9538	Χουσι	χουσι	χουσι	Χουσι	Xousi				*XOUSI	*XOUSI
1	1	N2	ASM	9474	υἱὸν	υἱον	υιον	υἱός	ui(o/j				UI(O\N	UI(O/S
1	1	N1T	GSM	9538	Γοδολιου	γοδολιου	γοδολιου	Γοδολιας	Godoliaj				*GODOLIOU	*GODOLIAS
1	1	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	1	N1T	GSM	9538	Αμαριου	αμαριου	αμαριου	Ἀμαρίας	A)mari/aj				*AMARIOU	*AMARIAS
1	1	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	1	N1T	GSM	9538	Εζεκιου	εζεκιου	εζεκιου	Ἐζεκίας	E)zeki/aj				*EZEKIOU	*EZEKIAS
1	1	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	1	N1A	DPF	14210	ἡμέραις	ἡμεραις	ημεραις	ἡμέρα	h(me/ra				H(ME/RAIS	H(ME/RA
1	1	N1T	GSM	9538	Ιωσιου	ιωσιου	ιωσιου	Ἰωσίας	I)wsi/aj				*IWSIOU	*IWSIAS
