1	1	RD	NPN	11	Ταῦτα	ταυτα	ταυτα	οὗτος	ou(=toj				TAU=TA	OU(=TOS
1	1	RA	NPN	10	τὰ	τα	τα	ὁ	o(				TA\	O(
1	1	N3M	NPN	18050	ὀνόματα	ὀνοματα	ονοματα	ὄνομα	o)/noma				O)NO/MATA	O)/NOMA
1	1	RA	GPM	10	τῶν	των	των	ὁ	o(				TW=N	O(
1	1	N2	GPM	10050	υἱῶν	υἱων	υιων	υἱός	ui(o/j				UI(W=N	UI(O/S
1	1	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	I)srah/l				*ISRAHL	*I)SRAH/L
1	1	RA	GPM	10	τῶν	των	των	ὁ	o(				TW=N	O(
1	1	VX	XPPGPM	5164481	εἰσπεπορευμένων	εἰσπεπορευμενων	εισπεπορευμενων	εἰσπορεύομαι	ei)sporeu/omai				EI)SPEPOREUME/NWN	POREU/OMAI       EI)S
1	1	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
1	1	N2	ASF	13570	Αἴγυπτον	αἰγυπτον	αιγυπτον	Αἴγυπτος	Ai)/guptoj				*AI)/GUPTON	*AI)/GUPTOS
1	1	D		9	ἅμα	ἁμα	αμα	ἅμα	a(/ma				A(/MA	A(/MA
1	1	N	DSM	9602	Ιακωβ	ιακωβ	ιακωβ	Ἰακώβ	I)akw/b				*IAKWB	*I)AKW/B
1	1	RA	DSM	10	τῷ	τω	τω	ὁ	o(				TW=|	O(
1	1	N3	DSM	9602	πατρὶ	πατρι	πατρι	πατήρ	path/r				PATRI\	PATH/R
1	1	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός	au)to/j				AU)TW=N	AU)TO/S
1	1	A1	NSM	9347	ἕκαστος	ἑκαστος	εκαστος	ἕκαστος	e(/kastoj				E(/KASTOS	E(/KASTOS
1	1	N1A	DSF	13698	πανοικίᾳ	πανοικια	πανοικια	πανοικία	panoiki/a				PANOIKI/A|	PANOIKI/A
1	1	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός	au)to/j				AU)TW=N	AU)TO/S
1	1	VBI	AAI3P	895617	εἰσήλθοσαν	εἰσηλθοσαν	εισηλθοσαν	εἰσέρχομαι	ei)se/rxomai			·	EI)SH/LQOSAN	E)/RXOMAI        EI)S
1	2	N	NSM	9346	Ρουβην	ρουβην	ρουβην	Ῥουβήν	R(oubh/n			,	*ROUBHN	*ROUBHN
1	2	N	NSM	9346	Συμεων	συμεων	συμεων	Συμεών	Sumew/n			,	*SUMEWN	*SUMEWN
1	2	N	NSM	9346	Λευι	λευι	λευι	Λευΐ	Leui/:			,	*LEUI	*LEUI/
1	2	N	NSM	9346	Ιουδας	ιουδας	ιουδας	Ἰούδας	I)ou/daj			,	*IOUDAS	*I)OU/DAS
1	3	N	NSM	9346	Ισσαχαρ	ισσαχαρ	ισσαχαρ	Ἰσσαχάρ	I)ssaxa/r			,	*ISSAXAR	*ISSAXAR
1	3	N	NSM	9346	Ζαβουλων	ζαβουλων	ζαβουλων	Ζαβουλών	Zaboulw/n				*ZABOULWN	*ZABOULWN
1	3	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	3	N	NSM	9346	Βενιαμιν	βενιαμιν	βενιαμιν	Βενιαμίν	Beniami/n			,	*BENIAMIN	*BENIAMI/N
1	4	N	NSM	9346	Δαν	δαν	δαν	Δαν	Dan				*DAN	*DAN
1	4	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	4	N	NSM	9346	Νεφθαλι	νεφθαλι	νεφθαλι	Νεφθαλείμ	Nefqalei/m			,	*NEFQALI	*NEFQALI
1	4	N	NSM	9346	Γαδ	γαδ	γαδ	Γάδ	Ga/d				*GAD	*GAD
1	4	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	4	N	NSM	9346	Ασηρ	ασηρ	ασηρ	Ἀσήρ	A)sh/r			.	*ASHR	*ASHR
1	5	N	NSM	9346	Ιωσηφ	ιωσηφ	ιωσηφ	Ἰωσήφ	I)wsh/f				*IWSHF	*IWSHF
1	5	X		5	δὲ	δε	δε	δέ	de/				DE\	DE/
1	5	V9	IAI3S	632449	ἦν	ἠν	ην	εἰμί	ei)mi/				H)=N	EI)MI/
1	5	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	5	N2	DSF	13698	Αἰγύπτῳ	αἰγυπτω	αιγυπτω	Αἴγυπτος	Ai)/guptoj			.	*AI)GU/PTW|	*AI)/GUPTOS
1	5	V9	IAI3P	894593	ἦσαν	ἠσαν	ησαν	εἰμί	ei)mi/				H)=SAN	EI)MI/
1	5	X		5	δὲ	δε	δε	δέ	de/				DE\	DE/
1	5	A1S	NPF	13955	πᾶσαι	πασαι	πασαι	πᾶς	pa=j				PA=SAI	PA=S
1	5	N1	NPF	13954	ψυχαὶ	ψυχαι	ψυχαι	ψυχή	yuxh/				YUXAI\	YUXH/
1	5	P		8	ἐξ	ἐξ	εξ	ἐκ	e)k				E)C	E)K
1	5	N	GSM	9538	Ιακωβ	ιακωβ	ιακωβ	Ἰακώβ	I)akw/b				*IAKWB	*I)AKW/B
1	5	M		7	πέντε	πεντε	πεντε	πέντε	pe/nte				PE/NTE	PE/NTE
1	5	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	5	M		7	ἑβδομήκοντα	ἑβδομηκοντα	εβδομηκοντα	ἑβδομήκοντα	e(bdomh/konta			.	E(BDOMH/KONTA	E(BDOMH/KONTA
1	6	VAI	AAI3S	633473	ἐτελεύτησεν	ἐτελευτησεν	ετελευτησεν	τελευτάω	teleuta/w				E)TELEU/THSEN	TELEUTA/W
1	6	X		5	δὲ	δε	δε	δέ	de/				DE\	DE/
1	6	N	NSM	9346	Ιωσηφ	ιωσηφ	ιωσηφ	Ἰωσήφ	I)wsh/f				*IWSHF	*IWSHF
1	6	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	6	A3	NPM	9859	πάντες	παντες	παντες	πᾶς	pa=j				PA/NTES	PA=S
1	6	RA	NPM	10	οἱ	οἱ	οι	ὁ	o(				OI(	O(
1	6	N2	NPM	9858	ἀδελφοὶ	ἀδελφοι	αδελφοι	ἀδελφός	a)delfo/j				A)DELFOI\	A)DELFO/S
1	6	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)to/j				AU)TOU=	AU)TO/S
1	6	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	6	A1S	NSF	13443	πᾶσα	πασα	πασα	πᾶς	pa=j				PA=SA	PA=S
1	6	RA	NSF	10	ἡ	ἡ	η	ὁ	o(				H(	O(
1	6	N1A	NSF	13442	γενεὰ	γενεα	γενεα	γενεά	genea/				GENEA\	GENEA/
1	6	RD	NSF	11	ἐκείνη	ἐκεινη	εκεινη	ἐκεῖνος	e)kei=noj			.	E)KEI/NH	E)KEI=NOS
1	7	RA	NPM	10	οἱ	οἱ	οι	ὁ	o(				OI(	O(
